,0
345,FIRSTINL NL Equity
346,EPCO EC Equity
347,UPL NL Equity
348,HPA SJ Equity
349,PGR SJ Equity
350,SBK SJ Equity
351,CGP NW Equity
352,TRANSCOR NL Equity
353,UNIONDAC NL Equity
354,UMR MC Equity
355,CTL SJ Equity
356,PUR SJ Equity
357,ANG SJ Equity
358,AOX NW Equity
359,TERA MP Equity
360,REIZ ZL Equity
361,FSR SJ Equity
362,MIL SJ Equity
363,MEB SJ Equity
364,SJL SJ Equity
365,NRL MP Equity
366,ICT SJ Equity
367,UNILEVER NL Equity
368,AOD SJ Equity
369,CCN SJ Equity
370,TRM SJ Equity
371,COL MC Equity
372,FSH SJ Equity
373,WSC SJ Equity
374,DHO MC Equity
375,GDL SJ Equity
376,GUB SJ Equity
377,SRL SJ Equity
378,CAL SJ Equity
379,KPM SJ Equity
380,MEYER NL Equity
381,STAR TU Equity
382,MVL SJ Equity
383,AIND EC Equity
384,NSLTECH NL Equity
385,TCP SJ Equity
386,FPC BG Equity
387,MMI SJ Equity
388,WKN SJ Equity
389,CUSTODYI NL Equity
390,RTVC EC Equity
391,CIE UN Equity
392,ATEL ZL Equity
393,TKNL KN Equity
394,GLH SJ Equity
395,CIEB EC Equity
396,EMH SJ Equity
397,PWS ZH Equity
398,PON SJ Equity
399,SCP SJ Equity
400,ENR SJ Equity
401,BH TU Equity
402,AXC SJ Equity
403,DTA SJ Equity
404,NAM NW Equity
405,ANM NW Equity
406,BER MC Equity
407,KOS UN Equity
408,RLO SJ Equity
409,IMP SJ Equity
410,ABC SJ Equity
411,BUR SJ Equity
412,DST SJ Equity
413,JCD SJ Equity
414,SMURFIT NL Equity
415,MFL SJ Equity
416,NMH MP Equity
417,SET SJ Equity
418,RCT SJ Equity
419,SMR SJ Equity
420,EQBNK KN Equity
421,DGC SJ Equity
422,ESS SJ Equity
423,264303Q SJ Equity
424,BNA TU Equity
425,WAA MC Equity
426,UACPROP NL Equity
427,PTH SJ Equity
428,BAW SJ Equity
429,BCF SJ Equity
430,MUA MP Equity
431,MERI MP Equity
432,CFX ZH Equity
433,CRBG KN Equity
434,CBH SJ Equity
435,AELZ ZL Equity
436,KKZI KN Equity
437,PREMPAIN NL Equity
438,APN SJ Equity
439,STANBIC NL Equity
440,IHS NL Equity
441,INN ZH Equity
442,MLE MC Equity
443,AFT SJ Equity
444,LNC SJ Equity
445,STP SJ Equity
446,CVS SJ Equity
447,PEP SJ Equity
448,NAKL TU Equity
449,CUL SJ Equity
450,AND SJ Equity
451,CWG NL Equity
452,AFRIK NL Equity
453,ACT SJ Equity
454,SFR SJ Equity
455,HRHO EY Equity
456,TAIR TU Equity
457,NEI SJ Equity
458,WTN NL Equity
459,RDS SJ Equity
460,RAH SJ Equity
461,ELBEN TU Equity
462,PHL ZH Equity
463,CGU SJ Equity
464,POW SJ Equity
465,PLATINUM NL Equity
466,ELR SJ Equity
467,SNI MC Equity
468,ING SJ Equity
469,SGG SJ Equity
470,ILV SJ Equity
471,COM SJ Equity
472,VIL SJ Equity
473,UNIT EC Equity
474,GGM SJ Equity
475,LFS SJ Equity
476,OANDO NL Equity
477,PHARMDEK NL Equity
478,EHS SJ Equity
479,0948146D CT Equity
480,HPS20 MC Equity
481,M2M MC Equity
482,GRV SJ Equity
483,MED MC Equity
484,TLJ SJ Equity
485,NESF NL Equity
486,BDM SJ Equity
487,SNA MC Equity
488,DCB TZ Equity
489,CIL TU Equity
490,BLL SJ Equity
491,QMT SJ Equity
492,TGN SJ Equity
493,MIC MC Equity
494,IPF SJ Equity
495,APEX ZH Equity
496,SIMCAPVA NL Equity
497,NHL NW Equity
498,OCIC EC Equity
499,AFX SJ Equity
500,WBO SJ Equity
501,CMPL MP Equity
502,IOT SJ Equity
503,NNFM NL Equity
504,HCH SJ Equity
505,BAIN MP Equity
506,IVD NW Equity
507,CML SJ Equity
508,CCAP EY Equity
509,NBC NL Equity
510,UIB TU Equity
511,STA SJ Equity
512,ARC SJ Equity
513,CHOBE BG Equity
514,KEGC KN Equity
515,ZABR ZL Equity
516,IEH SJ Equity
517,GDO SJ Equity
518,CAFCA ZH Equity
519,AMA SJ Equity
520,CIH MC Equity
521,CNF SJ Equity
522,SIMBA TZ Equity
523,PTC SJ Equity
524,CONOIL NL Equity
525,KPLLP KN Equity
526,TZI ZH Equity
527,AIRSERVI NL Equity
528,IST SJ Equity
529,OCEANIC NL Equity
530,INTENEGI NL Equity
531,NAN SJ Equity
532,STB TU Equity
533,APF SJ Equity
534,NED SJ Equity
535,TNBK ZH Equity
536,KAP SJ Equity
537,AOI CT Equity
538,PREMBREW NL Equity
539,COSTAIN NL Equity
540,QHL SJ Equity
541,EGX30 Index
542,TON SJ Equity
543,TROPICPE NL Equity
544,MHH SJ Equity
545,ABCL KN Equity
546,RAYA EC Equity
547,DMR SJ Equity
548,VLT SJ Equity
549,BRIT KN Equity
550,ROKANA NL Equity
551,ECO SJ Equity
552,ATL MC Equity
553,SBMH MP Equity
554,GRA SJ Equity
555,AAI KN Equity
556,PDN AU Equity
557,ADI SJ Equity
558,CIC NW Equity
559,IMG CT Equity
560,GSC CT Equity
561,SEMDEX Index
562,IFA SJ Equity
563,OCE SJ Equity
564,FINCORP MP Equity
565,SYC SJ Equity
566,SCBB BG Equity
567,BAGCO NL Equity
568,SYA SJ Equity
569,SOT MC Equity
570,MBENEFIT NL Equity
571,SOTUV TU Equity
572,HMARKINS NL Equity
573,ITI SJ Equity
574,DNL SJ Equity
575,ABBEYBDS NL Equity
576,EQX SJ Equity
577,PROL ZH Equity
578,UNF SJ Equity
579,PIK SJ Equity
580,ASC SJ Equity
581,SUR SJ Equity
582,MRN SJ Equity
583,GIDC MP Equity
584,MTA SJ Equity
585,PNG NL Equity
586,INFINITY NL Equity
587,PFG SJ Equity
588,MAU FP Equity
589,ITR SJ Equity
590,SKPC EC Equity
591,INVP LN Equity
592,CAC SJ Equity
593,PGH TU Equity
594,CGS SJ Equity
595,SHP SJ Equity
596,TDH SJ Equity
597,HDC SJ Equity
598,BLU SJ Equity
599,UNG SJ Equity
600,CRH SJ Equity
601,RNT SJ Equity
602,SPA SJ Equity
603,MTMD MP Equity
604,MDG SJ Equity
605,GBH ZH Equity
606,TOT SJ Equity
607,SAB SJ Equity
608,HTBL KN Equity
609,PET SJ Equity
610,TSC SJ Equity
611,ARIS ZH Equity
612,INV MC Equity
613,NABR ZL Equity
614,ZSA SJ Equity
615,CHELLARA NL Equity
616,KNCB KN Equity
617,RESORTS NL Equity
618,AGM MC Equity
619,RIS MC Equity
620,CRX SJ Equity
621,MON SJ Equity
622,APPC EC Equity
623,WLN SJ Equity
624,CDA MC Equity
625,SNB NW Equity
626,EABL TZ Equity
627,AVG SJ Equity
628,AHH SJ Equity
629,SOPAT TU Equity
630,IBC MC Equity
631,UNITYBNK NL Equity
632,MEP NW Equity
633,CPT SJ Equity
634,FQMZ ZL Equity
635,GOC SJ Equity
636,EGAS EC Equity
637,SRM MC Equity
638,BETAGLAS NL Equity
639,ASG SJ Equity
640,ADSWITCH NL Equity
641,SSO NO Equity
642,AEG SJ Equity
643,REB MC Equity
644,MLB SJ Equity
645,ONA MC Equity
646,PGH SJ Equity
647,ATW MC Equity
648,ATB TU Equity
649,GDH SJ Equity
650,GRF SJ Equity
651,AXI SJ Equity
652,SLM SJ Equity
653,MDS SJ Equity
654,NBC SJ Equity
655,EFIC EC Equity
656,BNM MC Equity
657,AMER EC Equity
658,VLY SJ Equity
659,VITAFOAM NL Equity
660,EMI SJ Equity
661,SCAN KN Equity
662,PZ NL Equity
663,ARE SJ Equity
664,STDINSUR NL Equity
665,CIEL MP Equity
666,CRUSADER NL Equity
667,MAZ TU Equity
668,MUR SJ Equity
669,TQM MC Equity
670,MMW SJ Equity
671,IVT SJ Equity
672,BAA CN Equity
673,APE SJ Equity
674,SNP MC Equity
675,FNB NW Equity
676,NXT SJ Equity
677,EAST EC Equity
678,FEQ SJ Equity
679,PNC SJ Equity
680,ROADS NL Equity
681,FBC ZH Equity
682,REF SJ Equity
683,POLYPROD NL Equity
684,MASH ZH Equity
685,LSTR TU Equity
686,ZAMEFA ZL Equity
687,STARCOMM NL Equity
688,TDK SJ Equity
689,AGL SJ Equity
690,DWY MC Equity
691,DLTA ZH Equity
692,LAFA ZL Equity
693,AEE SJ Equity
694,OKITIPUP NL Equity
695,FFA SJ Equity
696,LASACO NL Equity
697,CLY SJ Equity
698,CADBURY NL Equity
699,ABI SJ Equity
700,ALX SJ Equity
701,COSG EC Equity
702,LKL KN Equity
703,ACA LN Equity
704,JA00 Index
705,OCDI EY Equity
706,LES MC Equity
707,PRT SJ Equity
708,BWN SJ Equity
709,PMV SJ Equity
710,GLN SJ Equity
711,SOF MC Equity
712,BATA ZL Equity
713,LON SJ Equity
714,LSR SJ Equity
715,STIP TU Equity
716,RCL SJ Equity
717,ETIT BC Equity
718,RREI EC Equity
719,MOIL EC Equity
720,LIVESTOC NL Equity
721,BCE MC Equity
722,APP SJ Equity
723,SEED ZH Equity
724,RNS SJ Equity
725,OTMT EY Equity
726,MRIB BG Equity
727,ICH SJ Equity
728,ELH SJ Equity
729,COMI EC Equity
730,ECH SJ Equity
731,ODM SJ Equity
732,CPF SJ Equity
733,SUBC NO Equity
734,BNC SJ Equity
735,QFH SJ Equity
736,AMB SJ Equity
737,NCT NW Equity
738,SBL SJ Equity
739,GCAPPA NL Equity
740,PAN SJ Equity
741,UNIONVEN NL Equity
742,WNE SJ Equity
743,MCC SJ Equity
744,EDBM EC Equity
745,UACN NL Equity
746,NPN SJ Equity
747,AXIA ZH Equity
748,FIN SJ Equity
749,DCPL MP Equity
750,PPC SJ Equity
751,GPR SJ Equity
752,EDV CT Equity
753,GWKL KN Equity
754,CMT MC Equity
755,CLS SJ Equity
756,BCBL KN Equity
757,DZL ZH Equity
758,RTBRISCO NL Equity
759,ALEX NL Equity
760,TPC SJ Equity
761,ABR SJ Equity
762,SVCE EC Equity
763,BRY SJ Equity
764,ALE SJ Equity
765,AFP SJ Equity
766,FSC SJ Equity
767,AMS SJ Equity
768,DTKL KN Equity
769,MOBIL NL Equity
770,HRHO EC Equity
771,ILA SJ Equity
772,ITE SJ Equity
773,CNY SJ Equity
774,INL SJ Equity
775,TUC NW Equity
776,1024Q SJ Equity
777,ICX10 Index
778,ORWE EC Equity
779,LYD MC Equity
780,DCEA KN Equity
781,CONFDINS NL Equity
782,ECN NW Equity
783,POR SJ Equity
784,OTR SJ Equity
785,SAUD EC Equity
786,AMI LN Equity
787,BT TU Equity
788,ATS SJ Equity
789,AHL SJ Equity
790,USV SJ Equity
791,ARI SJ Equity
792,CRS22 MC Equity
793,LGL SJ Equity
794,ZPI ZH Equity
795,PSC SJ Equity
796,RMH SJ Equity
797,ARN SJ Equity
798,CORNERST NL Equity
799,CEY LN Equity
800,NESTLE NL Equity
801,APB SJ Equity
802,ICF TU Equity
803,NWT SJ Equity
804,UCSP KN Equity
805,ANINO NL Equity
806,SPP SJ Equity
807,TWIGA TZ Equity
808,ZANACO ZL Equity
809,GEF SJ Equity
810,HLM SJ Equity
811,SOTET TU Equity
812,ERM SJ Equity
813,SPR SJ Equity
814,CSH SJ Equity
815,SAL SJ Equity
816,CPC SJ Equity
817,UHS SJ Equity
818,AIB SJ Equity
819,TEM SJ Equity
820,AKG CT Equity
821,UDEOFSON NL Equity
822,SNV SJ Equity
823,BSR SJ Equity
824,ABRD EC Equity
825,ARD SJ Equity
826,CIEC BC Equity
827,ZCCM ZL Equity
828,HWA SJ Equity
829,NVS SJ Equity
830,OCDI EC Equity
831,VLX SJ Equity
832,NIGERCEM NL Equity
833,NSU CT Equity
834,SRV SJ Equity
835,EKOCORP NL Equity
836,KA TZ Equity
837,ACP SJ Equity
838,SPN SJ Equity
839,DNKN KN Equity
840,ADS SJ Equity
841,HOL MC Equity
842,SNU SJ Equity
843,HMN SJ Equity
844,SWDY EY Equity
845,RDF SJ Equity
846,BCH SJ Equity
847,ITV SJ Equity
848,CPS SJ Equity
849,FRO SJ Equity
850,CILEASIN NL Equity
851,MYT SJ Equity
852,AJWA EC Equity
853,QNBA EC Equity
854,MNK SJ Equity
855,ENX SJ Equity
856,SGBC BC Equity
857,ALT SJ Equity
858,MGF SJ Equity
859,AIP SJ Equity
860,CCT SJ Equity
861,KHO SJ Equity
862,OPT SJ Equity
863,SOMOC TU Equity
864,AML MP Equity
865,NIG/GERM NL Equity
866,ARCC EC Equity
867,CAPALBET NL Equity
868,PSV SJ Equity
869,NBV KN Equity
870,IDI SJ Equity
871,MUM SJ Equity
872,GPL SJ Equity
873,TUF SJ Equity
874,APX SJ Equity
875,DLV SJ Equity
876,SLO SJ Equity
877,NAHCO NL Equity
878,TRANSEXP NL Equity
879,FTGH KN Equity
880,TSL ZH Equity
881,SEFCASH BG Equity
882,BWL NW Equity
883,ECO ZH Equity
884,BEL SJ Equity
885,FMHL ZH Equity
886,VNF SJ Equity
887,MSM MP Equity
888,FCPD SJ Equity
889,COURTS MP Equity
890,HAR SJ Equity
891,CTRL KN Equity
892,UAM SJ Equity
893,DTIMES NL Equity
894,UBP MP Equity
895,FSP SJ Equity
896,KWS SJ Equity
897,QCK SJ Equity
898,RFN SJ Equity
899,EVANSMED NL Equity
900,BBCL MP Equity
901,PCN SJ Equity
902,MSP SJ Equity
903,FIDSON NL Equity
904,UBU SJ Equity
905,BIHL BG Equity
906,EGTS EC Equity
907,CDR SJ Equity
908,ADH SJ Equity
909,AFRPAINT NL Equity
910,PRESTIGE NL Equity
911,NMB ZH Equity
912,FRS SJ Equity
913,DAW SJ Equity
914,MTL SJ Equity
915,PRI SJ Equity
916,UNITYKAP NL Equity
917,AWA SJ Equity
918,RFG SJ Equity
919,BCP MC Equity
920,DARSDSEI INDEX
921,LENNARDS NL Equity
922,IKEJAHOT NL Equity
923,FLOURMIL NL Equity
924,CAPS ZH Equity
925,ASHAKACE NL Equity
926,ARL SJ Equity
927,MLL SJ Equity
928,ETERNA NL Equity
929,OMA SJ Equity
930,CSB SJ Equity
931,SFBT TU Equity
932,KNOL KN Equity
933,APSW EC Equity
